N,ID,correct,fitness,incorrect
0,26,16991.737685,13
1,7,25,8865.662474,14
2,103,20,12340.925438,20
3,214,29,34868.840016,11
4,347,24,34375.158641,16
5,424,25,14123.968512,15
6,594,29,23409.036971,11
7,628,24,5998.313056,16
8,785,24,3975.811755,15
9,883,24,12500.115593,16
10,959,22,12078.945979,18
11,1059,28,30302.433033,12
12,1128,23,20289.594090,17
13,1220,28,27620.883675,12
14,1376,29,25943.355450,11
15,1403,28,46903.368481,12
16,1580,35,35290.226157,5
17,1649,31,51835.218892,9
18,1725,30,23181.883116,9
19,1839,31,29722.536278,8
20,1970,25,11635.248624,14
21,2065,26,11710.548652,12
22,2120,30,30963.520658,10
23,2268,30,57988.314675,10
24,2365,31,30447.244054,9
25,2472,30,22848.347852,10
26,2561,23,6663.764873,16
27,2613,31,42677.291753,9
28,2708,24,35566.468892,16
29,2860,26,53890.171858,14
30,2972,29,11262.564529,10
31,3079,32,65314.968523,7
32,3180,29,79218.051313,10
33,3264,23,9550.667610,16
34,3362,30,39465.878146,7
35,3490,32,18396.114682,8
36,3551,30,43274.410308,10
37,3654,24,8869.970052,15
38,3789,28,75583.023472,12
39,3861,27,31350.342925,13
40,3941,30,19727.304576,9
41,4056,23,18645.375957,16
42,4167,27,22716.200706,11
43,4274,29,5673.289641,9
44,4361,24,9679.326397,12
45,4473,29,12056.696907,9
46,4547,28,24628.110757,9
47,4619,28,55493.630920,12
48,4783,27,23009.657523,10
49,4824,30,47186.619780,10
50,4926,29,37476.154451,10
51,5012,28,26948.959958,11
52,5173,26,18700.652625,12
53,5286,26,32246.425254,14
54,5318,33,53628.289142,7
55,5447,28,40163.457423,10
56,5500,29,12217.871440,10
57,5646,27,8791.318511,12
58,5794,30,16311.161469,9
59,5879,24,20270.825160,15
60,5928,25,8398.771803,14
61,6079,29,29857.382135,10
62,6186,30,20126.146316,8
63,6298,25,24526.808336,14
64,6351,31,50258.493755,7
65,6438,30,92292.908296,9
66,6502,23,13883.590060,17
67,6645,26,47696.707237,14
68,6756,33,35408.610988,7
69,6852,27,7014.498831,12
70,6963,23,18474.840281,16
71,7040,29,39333.865859,11
72,7166,28,25813.357356,11
73,7217,36,108325.163890,4
74,7374,31,70918.855389,9
75,7497,33,64627.238609,5
76,7594,26,20533.358070,12
77,7681,28,13809.142578,9
78,7758,28,17167.044872,9
79,7864,31,23256.200069,9
80,7931,26,22737.846004,12
81,8039,27,9352.308754,12
82,8120,31,82744.103223,9
83,8297,25,11624.553677,14
84,8374,30,72114.602102,10
85,8461,27,14270.513245,12
86,8533,23,14973.959112,17
87,8620,26,17178.643160,13
88,8736,28,23061.913620,12
89,8869,26,12099.641421,13
90,8958,27,30711.760739,12
91,9079,26,10291.032317,11
92,9170,28,60673.618516,11
93,9282,31,30595.242365,8
94,9390,27,91977.160518,13
95,9498,24,38976.562049,16
96,9538,29,41716.082252,11
97,9676,29,23572.419914,11
98,9776,27,16466.884670,11
99,9842,28,39939.691859,12
100,9951,28,22957.786006,12
101,10048,32,76296.074952,8
102,10118,30,38813.022037,9
103,10237,30,27780.801135,10
104,10338,32,39172.001560,8
105,10413,32,22499.599629,8
106,10500,27,9653.533347,12
107,10633,29,25466.917034,8
108,10731,29,27006.713563,11
109,10805,33,58335.137715,7
110,10991,27,10429.466819,13
111,11051,27,16152.329253,13
112,11168,27,41371.608415,13
113,11246,25,8237.026013,15
114,11379,24,59455.463321,16
115,11461,29,22270.543682,9
116,11574,31,22228.724663,9
117,11641,31,15949.227521,8
118,11741,24,3916.246488,15
119,11838,26,9129.154978,12
120,11932,27,11274.338853,13
121,12004,25,29573.597427,14
122,12113,29,18397.198859,11
123,12212,24,21412.630033,15
124,12328,31,77323.522526,9
125,12477,26,32703.210054,13
126,12511,31,30654.050022,8
127,12646,34,48891.200416,5
128,12750,30,8890.854295,10
129,12834,32,48162.630682,8
130,12999,27,22168.873143,11
131,13023,32,106569.702471,8
132,13144,32,111482.532821,8
133,13226,31,20679.768852,7
134,13398,31,35527.526585,9
135,13449,27,8877.430073,12
136,13589,27,12746.310126,12
137,13620,28,39506.464477,12
138,13763,31,15593.988452,9
