map,goal0,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9
fbON_0,3.025669,2.899155,2.905836,nan,nan,nan,nan,nan,nan,nan
fbON_1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_2,3.028456,2.885093,2.903225,nan,nan,nan,nan,nan,nan,nan
fbON_3,3.057464,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_4,1.985720,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_5,2.873450,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_6,3.059974,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_7,2.015076,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_8,2.852814,2.733858,2.751995,nan,nan,nan,nan,nan,nan,nan
fbON_9,2.860533,2.739885,2.773853,nan,nan,nan,nan,nan,nan,nan
fbON_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_11,2.855889,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_12,2.009711,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_13,2.875072,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_14,3.032013,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_15,1.975832,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_16,2.850662,2.745131,2.728080,nan,nan,nan,nan,nan,nan,nan
fbON_17,2.860288,2.748916,2.727125,nan,nan,nan,nan,nan,nan,nan
fbON_18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_19,2.867255,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_20,3.025319,2.900527,2.906903,nan,nan,nan,nan,nan,nan,nan
fbON_21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fbON_22,3.022027,2.869729,2.883462,nan,nan,nan,nan,nan,nan,nan
fbON_23,3.061453,nan,nan,nan,nan,nan,nan,nan,nan,nan
lifetimeFbON,2.790132,1.789802,2.792710,3.057464,1.985720,2.873450,3.059974,2.015076,2.635607,2.646650,1.781747,2.855889,2.009711,2.875072,3.032013,1.975832,2.633143,2.641158,1.779051,2.867255,2.797468,1.801017,2.781060,3.061453
lifetimeFbOFF,3.326741,2.590187,3.304239,3.647053,2.300642,3.427555,3.618386,2.304691,3.168229,3.140113,2.582684,3.462666,2.271687,3.474211,3.592641,2.309462,3.149007,3.151110,2.624147,3.459237,3.338313,2.583807,3.318787,3.650418
